(И, 0.9793664999135054), (Н, 0.9655987716971355), (П, 0.8886222172109659), (К, 0.8644037540838767), (В, 0.860676110107697), (Ц, 0.8588409297452609), (Я, 0.8363525995389983), (О, 0.8305785221810382), (Ч, 0.8267100631720354), (Ы, 0.826033285902325), (А, 0.8236303816735409), (Х, 0.8133810795533549), (Ф, 0.8111048147564895), (Ж, 0.7970255541726808), (Е, 0.7713458544845542), (Б, 0.7696212192085756), (Р, 0.7695263588618259), (Ъ, 0.7584916609927594), (Э, 0.7519640615782207), (У, 0.7364076152013104), (Щ, 0.7163659273547018), (Л, 0.7059711682261582), (М, 0.7019667031138944), (Д, 0.7018900504404749), (Й, 0.6932328930508225), (Ш, 0.6685033727656442), (Ь, 0.6657193136309911), (Ю, 0.6198018999737724), (З, 0.595070447428117), (Т, 0.5874877309744635), (Ё, 0.5223576055647376), (С, 0.49962502327236624), (Г, 0.45367313291382816)

(П, 0.9644618109061673), (Н, 0.9066307645954492), (И, 0.9007392876002395), (Ц, 0.880756535654782), (К, 0.8556752493694947), (Х, 0.8495030196480008), (О, 0.8414793571191084), (А, 0.8141383913023413), (Ы, 0.8058877139407177), (У, 0.8042718124339949), (Ч, 0.8012279698445922), (Э, 0.7981361210389192), (В, 0.7800720067440614), (Л, 0.7790729519379341), (Е, 0.7783017981061027), (Ж, 0.7779738136735607), (Я, 0.760940428975015), (Ъ, 0.7449918603863485), (Д, 0.7436521760573804), (Р, 0.7432591873310703), (Б, 0.739174982376694), (Щ, 0.7343739466706691), (Ф, 0.7249630102079192), (М, 0.7049473083758259), (Й, 0.6902928607841962), (Ш, 0.680150809655423), (Т, 0.6479604199981928), (Ь, 0.6468503440648425), (Ю, 0.631441325447508), (З, 0.6014737418809801), (С, 0.5661956126216854), (Ё, 0.5457322184475031), (Г, 0.5195767007968799)
(Р, 0.9609133055621789), (Е, 0.8107719991088155), (К, 0.7989494395505368), (В, 0.7806674148514519), (Б, 0.7768448130002438), (И, 0.7571499535728682), (Н, 0.7223928620726405), (Я, 0.7184051308360451), (Ц, 0.7164438684075007), (Д, 0.7042710078153485), (П, 0.6919527396820779), (О, 0.6904535505638567), (У, 0.6846678254521001), (А, 0.6773810802944263), (Ф, 0.6756267020927906), (Х, 0.6621335106184334), (Й, 0.656156883605582), (З, 0.637858101268852), (Ъ, 0.6232328566631524), (Т, 0.611595998862285), (Ч, 0.6076727768566997), (Л, 0.6007542352774641), (Ь, 0.5982807185001944), (Ы, 0.5902141547858101), (Э, 0.5884906351251336), (Ж, 0.567210941959702), (Г, 0.5401392062728247), (Ё, 0.516578602617837), (С, 0.5078468621012895), (Щ, 0.49617514122129514), (М, 0.46432634875409173), (Ш, 0.4364888823106008), (Ю, 0.3993533712899595)
(И, 0.9837832881586122), (Н, 0.9549024472663307), (П, 0.8764017500336498), (В, 0.8735881859946615), (К, 0.8576256096783504), (Я, 0.8513806704203846), (Ц, 0.8420424919868551), (Ф, 0.8206127934270058), (Ы, 0.8173481082938656), (О, 0.8160677760514953), (А, 0.8127438969014001), (Ч, 0.8125262729616272), (Х, 0.802138695111587), (Ж, 0.7915143234827293), (Р, 0.7824609236112412), (Е, 0.7692661433088092), (Б, 0.7689840350438816), (Ъ, 0.7463190326625136), (Э, 0.7355083356709493), (У, 0.7289815780099843), (Л, 0.700370231548892), (Д, 0.6991908587139732), (Щ, 0.6990631539629637), (М, 0.6897952490109693), (Й, 0.6843967290049966), (Ш, 0.6581089055002374), (Ь, 0.6540105694700158), (Ю, 0.6074132988602445), (З, 0.5935103128854574), (Т, 0.5848842554836974), (Ё, 0.5112548547327671), (С, 0.4898899285746977), (Г, 0.4513786056040814)
(К, 0.9566354167129556), (Е, 0.9058622866806939), (Ц, 0.8982521120158987), (Б, 0.8711025014275348), (И, 0.8282178064948518), (О, 0.8168728509826436), (Н, 0.8116113009845773), (А, 0.8052220777891861), (П, 0.802011284823229), (В, 0.8014068917630751), (Х, 0.7978105195013094), (Р, 0.7940370095986423), (Ъ, 0.7892608706152582), (Й, 0.7839001839933417), (Д, 0.7626644383773918), (Э, 0.7617675119459283), (У, 0.7616986999799343), (Ь, 0.7608399390151688), (Ч, 0.7470282429615835), (Я, 0.7263283195682381), (З, 0.7031360837778342), (Ф, 0.6906427609488781), (Ы, 0.6844994204912591), (Л, 0.6809725587479011), (Т, 0.6566747499681207), (Ж, 0.6517142629857187), (Ё, 0.6432383868297737), (Щ, 0.6339933308087091), (С, 0.5827246585224658), (М, 0.5809118565803594), (Ш, 0.5445563069783333), (Г, 0.543515545472272), (Ю, 0.5122845158986937)
(И, 0.9837832881586122), (Н, 0.9549024472663307), (П, 0.8764017500336498), (В, 0.8735881859946615), (К, 0.8576256096783504), (Я, 0.8513806704203846), (Ц, 0.8420424919868551), (Ф, 0.8206127934270058), (Ы, 0.8173481082938656), (О, 0.8160677760514953), (А, 0.8127438969014001), (Ч, 0.8125262729616272), (Х, 0.802138695111587), (Ж, 0.7915143234827293), (Р, 0.7824609236112412), (Е, 0.7692661433088092), (Б, 0.7689840350438816), (Ъ, 0.7463190326625136), (Э, 0.7355083356709493), (У, 0.7289815780099843), (Л, 0.700370231548892), (Д, 0.6991908587139732), (Щ, 0.6990631539629637), (М, 0.6897952490109693), (Й, 0.6843967290049966), (Ш, 0.6581089055002374), (Ь, 0.6540105694700158), (Ю, 0.6074132988602445), (З, 0.5935103128854574), (Т, 0.5848842554836974), (Ё, 0.5112548547327671), (С, 0.4898899285746977), (Г, 0.4513786056040814)
(И, 0.9793664999135054), (Н, 0.9655987716971355), (П, 0.8886222172109659), (К, 0.8644037540838767), (В, 0.860676110107697), (Ц, 0.8588409297452609), (Я, 0.8363525995389983), (О, 0.8305785221810382), (Ч, 0.8267100631720354), (Ы, 0.826033285902325), (А, 0.8236303816735409), (Х, 0.8133810795533549), (Ф, 0.8111048147564895), (Ж, 0.7970255541726808), (Е, 0.7713458544845542), (Б, 0.7696212192085756), (Р, 0.7695263588618259), (Ъ, 0.7584916609927594), (Э, 0.7519640615782207), (У, 0.7364076152013104), (Щ, 0.7163659273547018), (Л, 0.7059711682261582), (М, 0.7019667031138944), (Д, 0.7018900504404749), (Й, 0.6932328930508225), (Ш, 0.6685033727656442), (Ь, 0.6657193136309911), (Ю, 0.6198018999737724), (З, 0.595070447428117), (Т, 0.5874877309744635), (Ё, 0.5223576055647376), (С, 0.49962502327236624), (Г, 0.45367313291382816)
(У, 0.9770971175406077), (Х, 0.8181907600231442), (П, 0.7963438944495865), (К, 0.7881648613026468), (Ц, 0.7873498483352628), (Т, 0.7857561486689806), (Е, 0.7678604230120433), (Л, 0.7675898864973796), (Д, 0.7520266734089983), (И, 0.7439391415049766), (А, 0.7398487990284963), (Э, 0.7394076293299883), (Н, 0.7390600977833964), (Р, 0.7219352990700272), (О, 0.7055566543004862), (Ч, 0.682117898885406), (Ъ, 0.68137468419622), (Б, 0.6671711344103008), (В, 0.660594227434699), (Я, 0.6442001373893256), (Ж, 0.6408685723742875), (Ы, 0.6376514804389328), (Г, 0.6273206226221214), (Й, 0.6115639883176921), (З, 0.6099836182599239), (Щ, 0.6070408040656051), (С, 0.6015351647641825), (Ф, 0.5929393198046103), (М, 0.5591745235613579), (Ь, 0.5575139666645388), (Ш, 0.5366094229377414), (Ё, 0.5123269350235684), (Ю, 0.494315745029254)
(Л, 0.9536525751805726), (Д, 0.8402294578950509), (П, 0.7963841819812805), (Э, 0.7941477936346618), (У, 0.7851025882794868), (Х, 0.7797702559688353), (Ц, 0.7666045218925673), (А, 0.7625716436111943), (Т, 0.743001209047242), (К, 0.7323427245780043), (Н, 0.7283688977897989), (И, 0.7187146068298553), (Е, 0.7126353322896571), (О, 0.7113466986789057), (Й, 0.6614352281820468), (Ы, 0.6586865747238324), (Ъ, 0.655391214179761), (Р, 0.6534407451123366), (Б, 0.6531842139404891), (Ч, 0.6431059669148558), (З, 0.6387681748772358), (Ж, 0.6356015193498628), (Я, 0.6318807854552492), (В, 0.629718321110264), (Г, 0.623824820807878), (С, 0.6144268572969995), (Щ, 0.6024832494180141), (М, 0.5832285621370454), (Ш, 0.5763144996547509), (Ь, 0.565954142087753), (Ф, 0.5511651921615035), (Ё, 0.5506458898118443), (Ю, 0.5212831089590124)

(О, 0.9743818942953082), (Ц, 0.8433916087439919), (П, 0.8216899754531235), (Н, 0.805788854576172), (К, 0.8036131042604168), (И, 0.8030088618868434), (Й, 0.7790818649054396), (А, 0.7703665322950539), (Ы, 0.7628394337133152), (Э, 0.7569511554870155), (Щ, 0.7456468678657369), (Е, 0.7404267346962166), (Б, 0.729740486188891), (Д, 0.7290919111145792), (Х, 0.7259659645606666), (Ч, 0.7170581801190434), (Ь, 0.7135414263364868), (Л, 0.7123975512247805), (В, 0.708121267702634), (У, 0.7042592950796431), (Ъ, 0.6878295880052818), (Р, 0.6861683241141081), (Ж, 0.6859124217086592), (М, 0.6827329172713992), (Я, 0.662745305386598), (Ш, 0.656365514016043), (Ф, 0.6562952985830965), (Ю, 0.6462940480149066), (Ё, 0.6453580172261343), (С, 0.6353712288908361), (З, 0.5810840712813226), (Т, 0.5594635553011686), (Г, 0.5125428526015215)
